Nri.Ui.Block.V3,upgrade to V4
Nri.Ui.CharacterIcon.V1,upgrade to V2
Nri.Ui.Highlightable.V1,upgrade to V3
Nri.Ui.Highlightable.V2,upgrade to V3
Nri.Ui.Highlighter.V2,upgrade to V4
Nri.Ui.Highlighter.V3,upgrade to V4
Nri.Ui.HighlighterToolbar.V1,upgrade to V3
Nri.Ui.HighlighterToolbar.V2,upgrade to V3
Nri.Ui.QuestionBox.V2,upgrade to V4
Nri.Ui.QuestionBox.V3,upgrade to V4
Nri.Ui.Select.V8,upgrade to V9
Nri.Ui.SortableTable.V3,upgrade to V4
Nri.Ui.Table.V6,upgrade to V7
Nri.Ui.Tabs.V6,upgrade to V8
Nri.Ui.Tabs.V7,upgrade to V8
